,Movie Title,Year,Studio,Total Gross,Theaters,Opening,Open,Close,Rated,Runtime (Minutes),Director,Actor 1,Actor 2,Rotten Tomatoes (%),Metacritic,IMDB Rating,Production Studio
12,Guardians of the Galaxy,2014,BV,333176600,"4,088",94320883,1-Aug,22-Jan,PG-13,121,James Gunn,Chris Pratt, Zoe Saldana,91,76,81,Walt Disney Pictures
13,Captain America: The Winter Soldier,2014,BV,259766572,"3,938",95023721,4-Apr,21-Aug,PG-13,136,Anthony Russo,Chris Evans, Samuel L. Jackson,89,70,78,Walt Disney Pictures
14,The LEGO Movie,2014,WB,257760692,"3,890",69050279,7-Feb,4-Sep,PG,100,Phil Lord,Will Arnett, Elizabeth Banks,96,83,78,Warner Bros. Pictures
15,The Hobbit: The Battle of the Five Armies,2014,WB (NL),255119788,"3,875",54724334,17-Dec,2-Apr,PG-13,144,Peter Jackson,Ian McKellen, Martin Freeman,59,59,74,Warner Bros.
16,Transformers: Age of Extinction,2014,Par.,245439076,"4,233",100038390,27-Jun,9-Oct,PG-13,165,Michael Bay,Mark Wahlberg, Stanley Tucci,18,32,57,Paramount Pictures
17,Maleficent,2014,BV,241410378,"3,948",69431298,30-May,4-Dec,PG,97,Robert Stromberg,Angelina Jolie, Elle Fanning,51,56,70,Walt Disney Pictures
18,X-Men: Days of Future Past,2014,Fox,233921534,"4,001",90823660,23-May,9-Oct,PG-13,132,Bryan Singer,Hugh Jackman, James McAvoy,90,74,80,20th Century Fox
19,Big Hero 6,2014,BV,222527828,"3,773",56215889,7-Nov,28-May,PG,102,Don Hall,Scott Adsit, Ryan Potter,89,74,78,Walt Disney Pictures
20,Star Wars: The Force Awakens,2015,BV,936662225,"4,134",247966675,18-Dec,2-Jun,PG-13,136,J.J. Abrams,Harrison Ford, Mark Hamill,93,81,80,Walt Disney Pictures
21,Jurassic World,2015,Uni.,652270625,"4,291",208806270,12-Jun,19-Nov,PG-13,124,Colin Trevorrow,Chris Pratt, Bryce Dallas Howard,71,59,70,Universal Pictures
22,Avengers: Age of Ultron,2015,BV,459005868,"4,276",191271109,1-May,8-Oct,PG-13,141,Joss Whedon,Robert Downey Jr., Chris Hemsworth,75,66,74,Walt Disney Pictures
23,Inside Out,2015,BV,356461711,"4,158",90440272,19-Jun,10-Dec,PG,95,Pete Docter,Amy Poehler, Phyllis Smith,98,94,82,Disney/Pixar
24,Furious 7,2015,Uni.,353007020,"4,022",147187040,3-Apr,24-Jul,PG-13,137,James Wan,Vin Diesel, Paul Walker,80,67,72,Universal Pictures
25,Minions,2015,Uni.,336045770,"4,311",115718405,10-Jul,17-Dec,PG,91,Kyle Balda,Sandra Bullock, Jon Hamm,56,56,64,Universal Pictures
26,The Hunger Games: Mockingjay - Part 2,2015,LGF,281723902,"4,175",102665981,20-Nov,25-Feb,PG-13,137,Francis Lawrence,Jennifer Lawrence, Josh Hutcherson,70,65,65,Lionsgate Films
27,The Martian,2015,Fox,228433663,"3,854",54308575,2-Oct,17-Mar,PG-13,144,Ridley Scott,Matt Damon, Jessica Chastain,91,80,80,20th Century Fox
28,Cinderella ,2015,BV,201151353,"3,848",67877361,13-Mar,17-Sep,PG,105,Kenneth Branagh,Cate Blanchett, Lily James,84,67,69,Walt Disney Pictures
29,Spectre,2015,Sony,200074609,"3,929",70403148,6-Nov,7-Apr,PG-13,148,Sam Mendes,Daniel Craig, Christoph Waltz,63,60,68,Sony Pictures
30,Rogue One: A Star Wars Story,2016,BV,532177324,4157,155081681,43450,43224,PG-13,133,Gareth Edwards,Felicity Jones, Diego Luna,85,65,78,Walt Disney Pictures
31,Finding Dory,2016,BV,486295561,4305,135060273,43268,43442,PG,97,Andrew Stanton,Ellen DeGeneres, Albert Brooks,94,77,74,Walt Disney Pictures/PIXAR
