Rank,Movie Title,Studio,Total Gross,Theaters,Opening,Theaters,Open,Close,Year,Twitter Handle,Twitter Tag #1 ,Twitter Tag #2,
4,The Secret Life of Pets,Uni.,368384330,4381,104352905,4370,43289,43463,2016,,#secretlifeofpets,,
5,The Jungle Book (2016),BV,364001123,4144,103261464,4028,43205,43372,2016,,#junglebook,#movie,
6,Deadpool,Fox,363070709,3856,132434639,3558,43143,43267,2016,,#deadpool,,
7,Zootopia,BV,341268248,3959,75063401,3827,43163,43316,2016,,#zootopia,,
8,Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,43184,43267,2016,,#batmanvsuperman,,
9,Suicide Squad,WB,325100054,4255,133682248,4255,43317,43414,2016,,#suicidesquad,,
10,Sing,Uni.,270395425,4029,35258145,4022,43455,43221,2016,,#sing,#movie,
1,Star Wars: The Last Jedi,BV,"$620,164,565 ","4,232","$220,009,584 ","4,232",15-Dec,-,2017,,#starwars,#TLJ,
2,Beauty and the Beast (2017),BV,"$504,014,165 ","4,210","$174,750,616 ","4,210",17-Mar,13-Jul,2017,,#beautyandthebeast,#movie,
3,Wonder Woman,WB,"$412,563,408 ","4,165","$103,251,471 ","4,165",2-Jun,9-Nov,2017,,#wonderwoman,,
4,Jumanji: Welcome to the Jungle,Sony,"$403,652,109 ","3,849","$36,169,328 ","3,765",20-Dec,-,2017,,#jumanji,#movie,
5,Guardians of the Galaxy Vol. 2,BV,"$389,813,101 ","4,347","$146,510,104 ","4,347",5-May,21-Sep,2017,,#GuardiansoftheGalaxy,#vol2,
6,Spider-Man: Homecoming,Sony,"$334,201,140 ","4,348","$117,027,503 ","4,348",7-Jul,30-Nov,2017,,#spiderman,#homecoming,
7,It,WB (NL),"$327,481,748 ","4,148","$123,403,419 ","4,103",8-Sep,14-Dec,2017,,#it,#movie,
8,Thor: Ragnarok,BV,"$315,058,289 ","4,080","$122,744,989 ","4,080",3-Nov,15-Mar,2017,,#thor,#ragnarok,
9,Despicable Me 3,Uni.,"$264,624,300 ","4,535","$72,434,025 ","4,529",30-Jun,21-Dec,2017,,#Despicableme3,,
10,Justice League,WB,"$229,024,295 ","4,051","$93,842,239 ","4,051",17-Nov,15-Mar,2017,,#justicleague,,
