Movie Title,Movie Title (loop),Year,Studio,Total Gross,Theaters,Opening,Open,Close,Rated,Runtime (Minutes),Director,Tweets,Followers,Following,Favorites Count,Actor 1,Actor 2,Rotten Tomatoes (%),Metacritic,IMDB Rating,Production Studio,Month,Season,View Count,Video Title,Like Count,Dislike Count,Comment Count
The Secret Life of Pets,The Secret Life of Pets,2016,Uni.,368384330,4381,104352905,43289,43463,PG,87,Chris Renaud,#N/A,#N/A,#N/A,#N/A,Louis C.K., Eric Stonestreet,75,61,65,Universal Pictures,7,Summer,9434054,The Secret Life of Pets Official Trailer #1 (2016) Louis C.K. Animated Movie HD,24112,1410,2016
The Jungle Book (2016),The Jungle Book ,2016,BV,364001123,4144,103261464,43205,43372,PG,106,Jon Favreau,#N/A,#N/A,#N/A,#N/A,Neel Sethi, Bill Murray,95,77,75,Walt Disney Pictures,4,Spring,13439916,The Jungle Book Official Trailer #1 (2016) Scarlett Johansson Live-Action Disney Movie HD,30038,1749,4064
Deadpool,Deadpool,2016,Fox,363070709,3856,132434639,43143,43267,R,108,Tim Miller,#N/A,#N/A,#N/A,#N/A,Ryan Reynolds, Karan Soni,83,65,80,20th Century Fox,2,Winter,30201169,Deadpool 2 | The Trailer,556253,13731,29256
Zootopia,Zootopia,2016,BV,341268248,3959,75063401,43163,43316,PG,108,Byron Howard,2859,29023,470,13995,Ginnifer Goodwin, Jason Bateman,98,78,80,Walt Disney Animation Studios,3,Winter,6558378,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,33374,807,2058
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,WB,330360194,4256,166007347,43184,43267,PG-13,151,Zack Snyder,117,680710,18,1,Ben Affleck, Henry Cavill,27,44,66,Warner Bros. Pictures,3,Winter,11713359,"Batman v Superman: Dawn of Justice Official Trailer #1 (2016) - Henry Cavill, Ben Affleck Movie HD",54050,2251,8135
Suicide Squad,Suicide Squad,2016,WB,325100054,4255,133682248,43317,43414,PG-13,123,David Ayer,981,455201,228,1286,Will Smith, Jaime FitzSimons,26,40,61,Warner Bros. Pictures,8,Summer,12660622,"Suicide Squad Official Trailer #1 (2016) - Jared Leto, Margot Robbie Movie HD",90030,2294,8386
Sing,Sing,2016,Uni.,270395425,4029,35258145,43455,43221,PG,108,Garth Jennings,#N/A,#N/A,#N/A,#N/A,Matthew McConaughey, Reese Witherspoon,73,59,71,Illumination Entertainment,12,Fall,8821072,"Sing Official Trailer #1 (2016) - Scarlett Johansson, Matthew McConaughey Movie HD",41631,2392,5934
Star Wars: The Last Jedi,Star Wars: The Last Jedi,2017,BV,620164565,"4,232",220009584,15-Dec,-,PG-13,152,Rian Johnson,2230,901944,946,15409,Mark Hamill, Carrie Fisher,91,85,74,Walt Disney Pictures,12,Fall,50055632,Star Wars: The Last Jedi Trailer (Official),757954,33023,103700
Beauty and the Beast (2017),Beauty and the Beast ,2017,BV,504014165,"4,210",174750616,17-Mar,13-Jul,PG,129,Bill Condon,#N/A,#N/A,#N/A,#N/A,Emma Watson, Dan Stevens,71,65,73,Walt Disney Pictures,3,Winter,36583191,Beauty and the Beast US Official Trailer,319644,11168,27163
Wonder Woman,Wonder Woman,2017,WB,412563408,"4,165",103251471,2-Jun,9-Nov,PG-13,141,Patty Jenkins,1163,173487,430,2879,Gal Gadot, Chris Pine,92,76,75,Warner Bros. Pictures,6,Spring,16512825,WONDER WOMAN – Rise of the Warrior [Official Final Trailer],97809,4887,13987
Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,2017,Sony,403652109,"3,849",36169328,20-Dec,-,PG-13,119,Jake Kasdan,#N/A,#N/A,#N/A,#N/A,Dwayne Johnson, Kevin Hart,76,58,70,Columbia Pictures,12,Fall,28550441,JUMANJI: WELCOME TO THE JUNGLE - Official Trailer (HD),161460,52071,23507
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,2017,BV,389813101,"4,347",146510104,5-May,21-Sep,PG-13,136,James Gunn,28886,424925,867,42998,Chris Pratt, Zoe Saldana,83,67,77,Walt Disney Pictures,5,Spring,8396203,Guardians of the Galaxy Vol. 2 Official Trailer 1 (2017) - Chris Pratt Movie,67350,869,4358
Spider-Man: Homecoming,Spider-Man: Homecoming,2017,Sony,334201140,"4,348",117027503,7-Jul,30-Nov,PG-13,133,Jon Watts,249,21826,42,219,Tom Holland, Michael Keaton,92,73,75,Sony Pictures,7,Summer,25862067,Spider-Man: Homecoming Trailer #1 (2017) | Movieclips Trailers,183610,10216,25385
It,It,2017,WB (NL),327481748,"4,148",123403419,8-Sep,14-Dec,R,135,Andy Muschietti,#N/A,#N/A,#N/A,#N/A,Jaeden Lieberher, Jeremy Ray Taylor,85,69,75,Warner Bros. Pictures,9,Summer,11231504,It Trailer #1 (2017) | Movieclips Trailers,71352,3583,7261
Thor: Ragnarok,Thor: Ragnarok,2017,BV,315058289,"4,080",122744989,3-Nov,15-Mar,PG-13,130,Taika Waititi,4152,362928,621,6278,Chris Hemsworth, Tom Hiddleston,92,74,80,Walt Disney Pictures,11,Fall,63511068,"""Thor: Ragnarok"" Official Trailer",664848,28801,62228
Despicable Me 3,Despicable Me 3,2017,Uni.,264624300,"4,535",72434025,30-Jun,21-Dec,PG,89,Kyle Balda,#N/A,#N/A,#N/A,#N/A,Steve Carell, Kristen Wiig,60,49,63,Universal Pictures,6,Spring,35254808,Despicable Me 3 - Official Trailer - In Theaters Summer 2017 (HD),117002,9988,12954
Justice League,Justice League,2017,WB,229024295,"4,051",93842239,17-Nov,15-Mar,PG-13,120,Zack Snyder,117,680710,18,1,Ben Affleck, Henry Cavill,40,45,68,Warner Bros. Pictures,11,Fall,32512095,JUSTICE LEAGUE - Official Heroes Trailer,349667,21621,61914
